Date,Closing
2021-03-29 00:00:00,210.77
2021-03-30 00:00:00,210
2021-03-31 00:00:00,211.87
2021-04-01 00:00:00,218.72
2021-04-05 00:00:00,220.29
2021-04-06 00:00:00,221.09
2021-04-07 00:00:00,220.79
2021-04-08 00:00:00,224.45
2021-04-09 00:00:00,231.28
2021-04-12 00:00:00,228.76
2021-04-13 00:00:00,232
2021-04-14 00:00:00,228.02
2021-04-15 00:00:00,233
2021-04-16 00:00:00,231.91
2021-04-19 00:00:00,230.5
2021-04-20 00:00:00,227.96
2021-04-21 00:00:00,230.56
2021-04-22 00:00:00,231.35
2021-04-23 00:00:00,233.51
2021-04-26 00:00:00,235.46
2021-04-27 00:00:00,234.21
2021-04-28 00:00:00,236.88
2021-04-29 00:00:00,234.36
2021-04-30 00:00:00,230.32
2021-05-03 00:00:00,223.76
2021-05-04 00:00:00,217.18
2021-05-05 00:00:00,215.4
2021-05-06 00:00:00,218.05
2021-05-07 00:00:00,216.5
2021-05-10 00:00:00,213.89
2021-05-11 00:00:00,215.56
2021-05-12 00:00:00,210.54
2021-05-13 00:00:00,211.86
2021-05-14 00:00:00,217.66
2021-05-17 00:00:00,215.06
2021-05-18 00:00:00,214.33
2021-05-19 00:00:00,221.34
2021-05-20 00:00:00,223.78
2021-05-21 00:00:00,222.58
2021-05-24 00:00:00,226.99
2021-05-25 00:00:00,227.71
2021-05-26 00:00:00,229.68
2021-05-27 00:00:00,225.83
2021-05-28 00:00:00,238.1
2021-06-01 00:00:00,236.2
2021-06-02 00:00:00,234.62
2021-06-03 00:00:00,230.84
2021-06-04 00:00:00,237.48
2021-06-07 00:00:00,238.14
2021-06-08 00:00:00,236.42
2021-06-09 00:00:00,236.09
2021-06-10 00:00:00,240.19
2021-06-11 00:00:00,240.31
2021-06-14 00:00:00,246.26
2021-06-15 00:00:00,242.58
2021-06-16 00:00:00,242.39
2021-06-17 00:00:00,244.43
2021-06-18 00:00:00,242.78
2021-06-21 00:00:00,244.48
2021-06-22 00:00:00,243.11
2021-06-23 00:00:00,241.84
2021-06-24 00:00:00,243.77
2021-06-25 00:00:00,241.87
2021-06-28 00:00:00,244.57
2021-06-29 00:00:00,245.81
2021-06-30 00:00:00,244.27
2021-07-01 00:00:00,244.98
2021-07-02 00:00:00,248.2
2021-07-06 00:00:00,250.25
2021-07-07 00:00:00,248.44
2021-07-08 00:00:00,245.8
2021-07-09 00:00:00,245.06
2021-07-12 00:00:00,242.91
2021-07-13 00:00:00,244.02
2021-07-14 00:00:00,242.43
2021-07-15 00:00:00,237.58
2021-07-16 00:00:00,238.43
2021-07-19 00:00:00,237.55
2021-07-20 00:00:00,240.11
2021-07-21 00:00:00,242.11
2021-07-22 00:00:00,248.28
2021-07-23 00:00:00,248.25
2021-07-26 00:00:00,247.6
2021-07-27 00:00:00,243.51
2021-07-28 00:00:00,243.96
2021-07-29 00:00:00,244.04
2021-07-30 00:00:00,241.93
2021-08-02 00:00:00,240.86
2021-08-03 00:00:00,241.13
2021-08-04 00:00:00,244.17
2021-08-05 00:00:00,250.56
2021-08-06 00:00:00,250.59
2021-08-09 00:00:00,249.32
2021-08-10 00:00:00,243.39
2021-08-11 00:00:00,242.28
2021-08-12 00:00:00,248.39
2021-08-13 00:00:00,251.56
2021-08-16 00:00:00,249.2
2021-08-17 00:00:00,246.99
2021-08-18 00:00:00,251.22
2021-08-19 00:00:00,253.07
2021-08-20 00:00:00,256.13
2021-08-23 00:00:00,260.52
2021-08-24 00:00:00,259.66
2021-08-25 00:00:00,260.85
2021-08-26 00:00:00,267.79
2021-08-27 00:00:00,266.53
2021-08-30 00:00:00,264.97
2021-08-31 00:00:00,265.27
2021-09-01 00:00:00,268.32
2021-09-02 00:00:00,264.15
2021-09-03 00:00:00,267.08
2021-09-07 00:00:00,265.21
2021-09-08 00:00:00,262.62
2021-09-09 00:00:00,260.74
2021-09-10 00:00:00,257.2
2021-09-13 00:00:00,254.11
2021-09-14 00:00:00,254.37
2021-09-15 00:00:00,256.16
2021-09-16 00:00:00,260.36
2021-09-17 00:00:00,260.53
2021-09-20 00:00:00,258.22
2021-09-21 00:00:00,257.97
2021-09-22 00:00:00,259.17
2021-09-23 00:00:00,277.86
2021-09-24 00:00:00,285.63
2021-09-27 00:00:00,279.68
2021-09-28 00:00:00,272.28
2021-09-29 00:00:00,270.5
2021-09-30 00:00:00,271.22
